8.9773,2.9371,-4.6208,-0.49339,2.0945,-3.568,-1.6759,9.6293,5.3282,6.8774
-9.0659,-3.1934,3.3343,0.039452,6.8342,-4.0569,5.6167,7.6901,5.4332,8.9679
3.5824,-0.18434,-4.605,6.839,9.7626,5.2736,-3.3428,1.8203,5.2724,-4.5712
9.5264,-5.7164,-2.7376,-9.6648,8.669,-9.0193,-3.4978,-5.757,4.3783,7.6693
-3.7721,2.4795,-7.8184,-9.4387,-1.5709,9.3439,2.7193,-6.2214,-3.593,-6.5678
-9.0354,-8.8569,9.4625,-1.8503,0.91497,-5.3277,-6.9966,-1.108,-8.6162,9.438
-2.1806,1.2822,5.3583,-8.472,7.549,-1.3731,-6.8881,8.6328,-6.0687,7.084
5.791,-5.3544,-2.0571,-6.6715,-3.7156,-1.9322,7.6478,-9.6296,-2.6593,-5.9109
1.6092,-1.9154,9.9924,-6.4406,-3.7827,6.9371,-9.7857,5.1383,3.8777,-0.5242
-5.9726,1.6424,6.7008,1.6118,-2.7109,-8.2714,-0.76473,8.0867,7.2277,-7.6385
6.5792,1.057,6.1986,6.3153,8.3623,4.8364,-9.6823,-5.9875,5.2887,6.958
6.5024,-8.816,-9.4338,4.2499,-6.7925,-8.1656,-9.5511,9.2428,-1.2662,-8.9053
-8.9203,7.4696,6.0359,-5.0308,0.26958,1.0063,7.1119,-6.753,-0.80379,0.62353
2.9075,-3.5801,7.1778,2.9275,3.568,2.7804,-4.8588,2.2939,6.1561,5.5459
9.8757,2.8133,-8.4421,9.845,-2.0858,5.8615,7.9964,2.2215,-0.28545,3.2052
-7.0172,-8.2283,8.502,2.9144,-5.4438,0.42734,6.8162,4.7042,7.3675,9.5599
-8.4908,-1.3847,6.254,8.1506,-5.7839,1.8755,-5.893,-4.5187,-6.4819,9.9619
-0.23914,-3.0608,-1.9669,-0.99929,8.7778,-6.6764,8.795,-7.912,0.39754,6.6238
-9.0402,-6.8842,-0.60699,-6.0915,-5.1843,4.7051,-2.7787,-0.28251,-5.9496,4.5078
-8.2496,-6.2254,8.9374,-2.9226,0.48807,6.0322,-2.4293,0.53966,-7.7774,7.7241
-1.8196,3.5071,8.0795,9.881,1.454,-8.9969,-5.8014,-4.9955,-3.4688,-8.7604
